departure_id,departure_city,departure_name,departure_latitude,departure_longitude,destination_id,destination_city,destination_name,destination_latitude,destination_longitude,distance,new_dep_latitude,new_dep_longitude,new_dest_latitude,new_dest_longitude,new_distance,color,emissions
8300093.0,Venice,Venezia Mestre,45.481903,12.231901,8300239.0,Naples,Napoli Centrale,40.852827,14.273072,540.6430405796857,45.43713,12.33265,40.85631,14.24641,532.4562046281688,#3333FF,17450.28771755696
8300239.0,Naples,Napoli Centrale,40.852827,14.273072,8300263.0,Rome,Roma Termini,41.900492,12.502791,188.11281564094023,40.85631,14.24641,41.89193,12.51133,184.9836117761041,#3333FF,18598.35693088541
8300263.0,Rome,Roma Termini,41.900492,12.502791,8100002.0,Salzburg,Salzburg Hbf,47.813848,13.045514,658.9203918875827,41.89193,12.51133,47.79941,13.04399,658.2180401127875,#3333FF,2685.2719135282787
8100002.0,Salzburg,Salzburg Hbf,47.813848,13.045514,8000108.0,Freilassing,Freilassing,47.836798,12.977187,5.703716126623073,47.79941,13.04399,47.84085,12.98114,6.576708553983379,#3333FF,23555.545523026627
8000108.0,Freilassing,Freilassing,47.836798,12.977187,8098262.0,Munchen,Munchen Hbf Gl.5-10,48.140094,11.555373,111.05477794873924,47.84085,12.98114,48.13743,11.57549,109.6811531982696,#3333FF,7074.508589911647
8098261.0,Munchen,Munchen Hbf Gl.27-36,48.141532,11.556712,8000057.0,Buchloe,Buchloe,48.033734,10.71623,63.568838376963264,48.13743,11.57549,48.03719,10.72548,64.1129449062755,#3333FF,10779.79934146064
8000057.0,Buchloe,Buchloe,48.033734,10.71623,8000249.0,Memmingen,Memmingen,47.985848,10.186954,39.73107483427545,48.03719,10.72548,47.98372,10.18527,40.62296597915188,#3333FF,12831.928797997214
7100045.0,Malaga,Malaga,36.71182,-4.43214,7100049.0,Madrid city,Madrid-Puerta de Atocha,40.405964,-3.689757,415.8060170255378,36.72016,-4.42034,40.4165,-3.70256,415.71980205319534,#3333FF,3132.599736761951
7100049.0,Madrid city,Madrid-Puerta de Atocha,40.405964,-3.689757,7100064.0,City of Barcelona,Barcelona Sants,41.378911,2.140368,501.75343804898114,40.4165,-3.70256,41.38879,2.15899,504.2416415002709,#3333FF,10785.69912600636
7100064.0,City of Barcelona,Barcelona Sants,41.378911,2.140368,8700012.0,Paris,Paris Gare de Lyon,48.844839,2.374069,830.3747015509547,41.38879,2.15899,-26.9033,27.45727,831.4179432345668,#3333FF,10035.50003672676
8700011.0,Paris,Paris Est,48.876976,2.35912,8000244.0,Mannheim,Mannheim Hbf,49.479181,8.469268,449.0322285623543,-26.9033,27.45727,49.4891,8.46694,449.97437735315634,#3333FF,14901.64478686522
8000244.0,Mannheim,Mannheim Hbf,49.479181,8.469268,8010205.0,Leipzig,Leipzig Hbf,51.345081,12.381167,346.1671598028437,49.4891,8.46694,46.30452,29.01519,1566.9966759101217,#3333FF,12463.46566672435
8010205.0,Leipzig,Leipzig Hbf,51.345081,12.381167,8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,147.72570014215938,46.30452,29.01519,52.52437,13.41053,1319.754917322253,#3333FF,17204.040062994838
8300186.0,Ancona,Ancona,43.607598,13.497798,8300217.0,Bologna,Bologna Centrale,44.506142,11.343407,199.0403141477252,43.5942,13.50337,44.49381,11.33875,199.83943873288794,#3333FF,12486.227995526471
8300217.0,Bologna,Bologna Centrale,44.506142,11.343407,8100147.0,Villach,Villach Hbf,46.618625,13.848539,305.2730526941088,44.49381,11.33875,46.61028,13.85583,306.2313323143819,#3333FF,11652.457138655684
8100147.0,Villach,Villach Hbf,46.618625,13.848539,8000261.0,Munchen,Munchen Hbf,48.140364,11.558744,241.5505133666213,46.61028,13.85583,48.13743,11.57549,241.4787999372075,#3333FF,17754.213312484633
8000261.0,Munchen,Munchen Hbf,48.140364,11.558744,8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,504.2418498338116,48.13743,11.57549,52.52437,13.41053,504.8514405699702,#3333FF,18213.49986425539
8300217.0,Bologna,Bologna Centrale,44.506142,11.343407,8300093.0,Venice,Venezia Mestre,45.481903,12.231901,129.0465184501754,44.49381,11.33875,45.43713,12.33265,130.8285581341983,#3333FF,17227.353291723768
8300093.0,Venice,Venezia Mestre,45.481903,12.231901,8100002.0,Salzburg,Salzburg Hbf,47.813848,13.045514,266.6298423151952,45.43713,12.33265,47.79941,13.04399,268.2296374595754,#3333FF,17971.057660272596
8100002.0,Salzburg,Salzburg Hbf,47.813848,13.045514,8098262.0,Munchen,Munchen Hbf Gl.5-10,48.140094,11.555373,116.70101385876669,47.79941,13.04399,48.13743,11.57549,115.60722370267546,#3333FF,6293.98641440943
8300307.0,Catania,Catania Centrale,37.506574,15.100161,8300263.0,Rome,Roma Termini,41.900492,12.502791,536.6636738087248,37.49223,15.07041,41.89193,12.51133,535.919466488361,#3333FF,7129.168812180968
8300263.0,Rome,Roma Termini,41.900492,12.502791,8300046.0,Milan,Milano Centrale,45.487143,9.204828,478.81679180563737,41.89193,12.51133,45.46427,9.18951,478.5981536825773,#3333FF,4053.073868620156
8300046.0,Milan,Milano Centrale,45.487143,9.204828,8000105.0,Frankfurt (Oder),Frankfurt(Main)Hbf,50.106817,8.663003,515.2722058246248,45.46427,9.18951,52.34714,14.55062,859.2457597615636,#3333FF,2242.881040410804
8000105.0,Frankfurt (Oder),Frankfurt(Main)Hbf,50.106817,8.663003,8098160.0,Berlin,Berlin Hbf (tief),52.52585,13.368892,423.30901973909664,52.34714,14.55062,52.52437,13.41053,79.75876257737356,#3333FF,18540.250503287192
