airline,airline ID, source airport, source airport id,destination airport, destination airport id, stops, equipment,source_longitude,source_latitude,source_city,source_country,source_country_code,dest_longitude,dest_latitude,dest_city,dest_country,dest_country_code,distance,new_source_latitude,new_source_longitude,new_dest_latitude,new_dest_longitude,new_distance,color,emissions
IB,2822,BRU,302.0,VCE,1551.0,0.0,320,44.8443984985,50.9014015198,Brussels,Belgium,BE,12.3519,45.505299,Venice,Italy,IT,2459.927187956298,43.74316,-81.24998,45.43713,12.33265,843.610432452215,#FF3333,271641.9906751928
IB,2822,CAG,1519.0,FLR,1563.0,0.0,320,90.5428,39.251499,Cagliari,Italy,IT,11.2051,43.810001,Florence,Italy,IT,6362.614729060234,39.23054,9.11917,43.77925,11.24626,535.8596598830455,#FF3333,700937.6201966257
IB,2822,CDG,1382.0,OVD,1214.0,0.0,320,25.5,49.012798,Paris,France,FR,-6.03461980819702,43.5635986328125,Avila,Spain,ES,2478.2020948572663,-26.9033,27.45727,25.49203,-103.59389,NA,#FF3333,273652.2304342993
IB,2822,CDG,1382.0,SCQ,1243.0,0.0,320,25.5,49.012798,Paris,France,FR,-8.41514015197753,42.8963012695312,Santiago,Spain,ES,2684.1044797049667,-26.9033,27.45727,17.33462,-98.01147,NA,#FF3333,296301.4927675463
IB,2822,CPH,609.0,FLR,1563.0,0.0,320,12.656000137329,55.617900848389,Copenhagen,Denmark,DK,11.2051,43.810001,Florence,Italy,IT,1317.0401481871788,55.67594,12.56553,43.77925,11.24626,1326.182678244273,#FF3333,145924.41630058968
IB,2822,CTA,1509.0,FLR,1563.0,0.0,320,15.0664,37.466801,Catania,Italy,IT,11.2051,43.810001,Florence,Italy,IT,776.7111913197668,37.49223,15.07041,43.77925,11.24626,769.737523105294,#FF3333,86488.23104517435
IB,2822,EAS,1242.0,MAD,1229.0,0.0,AT7 CR2,-1.79060995578765,43.3564987182617,San Sebastian,Spain,ES,-3.56264,40.471926,Madrid city,Spain,ES,352.652343296307,16.95192,-96.61427,40.4165,-3.70256,NA,#FF3333,39841.75776259377
IB,2822,FCO,1555.0,NTE,1418.0,0.0,320,12.2388889,41.8002778,Rome,Italy,IT,-1.61073005199,47.1531982422,Nantes,France,FR,1247.173783100118,41.89193,12.51133,47.21725,-1.55336,1259.368331440427,#FF3333,138239.116141013
IB,2822,FLR,1563.0,MAD,1229.0,0.0,320,11.2051,43.810001,Florence,Italy,IT,-3.56264,40.471926,Madrid city,Spain,ES,1270.9016140085375,43.77925,11.24626,40.4165,-3.70256,1286.7179066383462,#FF3333,140849.17754093913
IB,2822,FLR,1563.0,PMO,1512.0,0.0,320,11.2051,43.810001,Florence,Italy,IT,13.091,38.175999,Palermo,Italy,IT,646.1066064625334,43.77925,11.24626,38.13205,13.33561,651.9284115599403,#FF3333,72121.72671087868
IB,2822,FLR,1563.0,TXL,351.0,0.0,320,11.2051,43.810001,Florence,Italy,IT,13.2877,52.5597,Berlin,Germany,DE,984.984415665278,43.77925,11.24626,52.52437,13.41053,985.4571833552264,#FF3333,109398.28572318058
IB,2822,GRX,1223.0,MAD,1229.0,0.0,CR9 CRK CR2,-3.77735996246337,37.1887016296386,Granada,Spain,ES,-3.56264,40.471926,Madrid city,Spain,ES,365.5509894961095,11.63333,123.35,40.4165,-3.70256,NA,#FF3333,41260.608844572045
IB,2822,GRX,1223.0,MLN,1058.0,0.0,AT7,-3.77735996246337,37.1887016296386,Granada,Spain,ES,-2.9562599659,35.279800415,Melilla,Spain,ES,224.66998389004675,11.63333,123.35,35.29369,-2.93833,NA,#FF3333,25763.698227905144
IB,2822,GRX,1223.0,PMI,3998.0,0.0,320,-3.77735996246337,37.1887016296386,Granada,Spain,ES,27.3881006241,39.551700592,Palma,Spain,ES,2716.019048915009,11.63333,123.35,22.71046,-101.79187,NA,#FF3333,299812.095380651
IB,2822,IBZ,1225.0,ORY,1386.0,0.0,320,13.7311995028999,38.8728981018,Ibiza,Spain,ES,23.794444,48.7233333,Paris,France,FR,1358.3764756343903,38.90883,1.43296,-26.9033,27.45727,1109.4523064112557,#FF3333,150471.41231978295
IB,2822,ILD,7459.0,PMI,3998.0,0.0,CR9,5.35023,41.728185,Lleida City,Spain,ES,27.3881006241,39.551700592,Palma,Spain,ES,1869.948889467717,41.61674,0.62218,22.71046,-101.79187,NA,#FF3333,206744.37784144888
IB,2822,LCG,1220.0,SVQ,1253.0,0.0,320,-8.37726,43.302101,La Coruna,Spain,ES,-5.89310979843139,37.4179992675781,Seville city,Spain,ES,687.2125366134703,43.37135,-8.396,37.38283,-5.97317,696.7136569112979,#FF3333,76643.37902748173
IB,2822,LDE,1276.0,MAD,1229.0,0.0,CR9,-0.0064389999024569,43.1786994934082,Tarbes,France,FR,-3.56264,40.471926,Madrid city,Spain,ES,421.13021728864015,43.23407,0.07139,40.4165,-3.70256,442.56303046439695,#FF3333,47374.32390175042
IB,2822,LEI,1213.0,MAD,1229.0,0.0,CR9 CRK CR2 AT7,-2.3701000213623,36.8438987731933,Almeria,Spain,ES,-3.56264,40.471926,Madrid city,Spain,ES,416.48303774462266,11.62028,124.38167,40.4165,-3.70256,NA,#FF3333,46863.134151908496
IB,2822,LEI,1213.0,MLN,1058.0,0.0,AT7,-2.3701000213623,36.8438987731933,Almeria,Spain,ES,-2.9562599659,35.279800415,Melilla,Spain,ES,181.7243658202768,11.62028,124.38167,35.29369,-2.93833,NA,#FF3333,21039.68024023045
IB,2822,LIN,1529.0,MAD,1229.0,0.0,320 321,92.7674,45.445099,Milan,Italy,IT,-3.56264,40.471926,Madrid city,Spain,ES,7360.222989797053,45.46427,9.18951,40.4165,-3.70256,1188.1222639959944,#FF3333,810674.5288776758
IB,2822,LIS,1638.0,MAD,1229.0,0.0,320 321 319,-9.13592,38.7813,Lisbon,Portugal,PT,-3.56264,40.471926,Madrid city,Spain,ES,512.8839403664687,38.71667,-9.13333,40.4165,-3.70256,502.312485724141,#FF3333,57467.23344031155
IB,2822,LPA,1054.0,ORY,1386.0,0.0,320,-1.53865995407104,27.931900024414,Gran Canaria,Spain,ES,23.794444,48.7233333,Paris,France,FR,3168.8858636869863,28.09973,-15.41343,-26.9033,27.45727,NA,#FF3333,349627.4450055685
IB,2822,LYS,1335.0,MAD,1229.0,0.0,CRK,50.81111,45.725556,Lyon,France,FR,-3.56264,40.471926,Madrid city,Spain,ES,4367.550057966723,45.74846,4.84671,40.4165,-3.70256,912.0918792585516,#FF3333,481480.50637633953
IB,2822,LYS,1335.0,PMI,3998.0,0.0,320,50.81111,45.725556,Lyon,France,FR,27.3881006241,39.551700592,Palma,Spain,ES,2026.35249147911,45.74846,4.84671,22.71046,-101.79187,NA,#FF3333,223948.7740627021
IB,2822,LYS,1335.0,SVQ,1253.0,0.0,320,50.81111,45.725556,Lyon,France,FR,-5.89310979843139,37.4179992675781,Seville city,Spain,ES,4705.440947471958,45.74846,4.84671,37.38283,-5.97317,1292.1677096020553,#FF3333,518648.5042219154
IB,2822,MAD,1229.0,MAH,1231.0,0.0,CRK,-3.56264,40.471926,Madrid city,Spain,ES,42.1864986419677,39.8625984191894,Menorca,Spain,ES,3843.445594258889,40.4165,-3.70256,39.9666628,4.083333,663.0119302060739,#FF3333,423829.0153684778
IB,2822,MAD,1229.0,MJV,1227.0,0.0,CR2,-3.56264,40.471926,Madrid city,Spain,ES,-0.8123890161514282,37.7750015258789,Murcia,Spain,ES,382.3366740181387,40.4165,-3.70256,37.98704,-1.13004,349.4123807921462,#FF3333,43107.03414199525
IB,2822,MAD,1229.0,MLN,1058.0,0.0,AT7,-3.56264,40.471926,Madrid city,Spain,ES,-2.9562599659,35.279800415,Melilla,Spain,ES,579.7813052068884,40.4165,-3.70256,35.29369,-2.93833,573.5610743298471,#FF3333,64825.94357275773
IB,2822,MAD,1229.0,NCE,1354.0,0.0,CRK CR9,-3.56264,40.471926,Madrid city,Spain,ES,72.1586990356,43.6584014893,Nice,France,FR,6035.589687556786,40.4165,-3.70256,43.70313,7.26608,975.5215900087368,#FF3333,664964.8656312465
IB,2822,MAD,1229.0,NTE,1418.0,0.0,CRK,-3.56264,40.471926,Madrid city,Spain,ES,-1.61073005199,47.1531982422,Nantes,France,FR,759.1833707614837,40.4165,-3.70256,47.21725,-1.55336,775.5343362754951,#FF3333,84560.17078376321
IB,2822,MAD,1229.0,OVD,1214.0,0.0,319 320,-3.56264,40.471926,Madrid city,Spain,ES,-6.03461980819702,43.5635986328125,Avila,Spain,ES,399.81065817958654,40.4165,-3.70256,25.49203,-103.59389,NA,#FF3333,45029.17239975452
IB,2822,MAD,1229.0,PRG,1587.0,0.0,321 320,-3.56264,40.471926,Madrid city,Spain,ES,14.26,50.1008,Prague,Czech Republic,CZ,1750.4090239791074,40.4165,-3.70256,50.08804,14.42076,1772.3818267496656,#FF3333,193594.9926377018
